ticker,company_name,statement,fiscal_year_end,FreeCashFlow,RepurchaseOfCapitalStock,RepaymentOfDebt,IssuanceOfDebt,IssuanceOfCapitalStock,CapitalExpenditure,EndCashPosition,OtherCashAdjustmentOutsideChangeinCash,BeginningCashPosition,EffectOfExchangeRateChanges,ChangesInCash,FinancingCashFlow,NetOtherFinancingCharges,InterestPaidCFF,CashDividendsPaid,CommonStockDividendPaid,NetCommonStockIssuance,CommonStockPayments,CommonStockIssuance,NetIssuancePaymentsOfDebt,NetShortTermDebtIssuance,NetLongTermDebtIssuance,LongTermDebtPayments,LongTermDebtIssuance,InvestingCashFlow,NetOtherInvestingChanges,DividendsReceivedCFI,NetBusinessPurchaseAndSale,SaleOfBusiness,PurchaseOfBusiness,NetPPEPurchaseAndSale,SaleOfPPE,PurchaseOfPPE,OperatingCashFlow,TaxesRefundPaid,InterestPaidCFO,DividendReceivedCFO,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,OtherNonCashItems,StockBasedCompensation,ProvisionandWriteOffofAssets,DepreciationAndAmortization,Depreciation,GainLossOnInvestmentSecurities,NetIncomeFromContinuingOperations,ChangeInPayable,ChangeInInventory,ChangeInReceivables,DeferredTax,AmortizationCashFlow,NetInvestmentPurchaseAndSale,SaleOfInvestment,PurchaseOfInvestment,NetIntangiblesPurchaseAndSale,SaleOfIntangibles,PurchaseOfIntangibles,InterestReceivedCFO,PensionAndEmployeeBenefitExpense,CapitalExpenditureReported,CashFlowFromContinuingFinancingActivities,ProceedsFromStockOptionExercised,ShortTermDebtPayments,ShortTermDebtIssuance,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingOperatingActivities,ChangeInOtherWorkingCapital,ChangeInPayablesAndAccruedExpense,ChangeInAccountPayable,ChangesInAccountReceivables,AssetImpairmentCharge,DeferredIncomeTax,DepreciationAmortizationDepletion,AmortizationOfIntangibles,OperatingGainsLosses,EarningsLossesFromEquityInvestments,NetForeignCurrencyExchangeGainLoss,GainLossOnSaleOfBusiness,OtherCashAdjustmentInsideChangeinCash,NetInvestmentPropertiesPurchaseAndSale,SaleOfInvestmentProperties,PurchaseOfInvestmentProperties,ChangeInOtherCurrentLiabilities,ChangeInPrepaidAssets,GainLossOnSaleOfPPE,ChangeInAccruedExpense,InterestReceivedCFI,AmortizationOfSecurities,InterestPaidSupplementalData,IncomeTaxPaidSupplementalData,CashFromDiscontinuedFinancingActivities,CashFromDiscontinuedInvestingActivities,CashFromDiscontinuedOperatingActivities,DividendPaidCFO
GLE.PA,Societe Generale,cash_flow,2025-12-31,-29009000000.0,,,,,-9361000000.0,153327000000.0,1000000.0,219119000000.0,-9147000000.0,-56646000000.0,-8560000000.0,-3782000000.0,,,,-4778000000.0,,,,,,,,-28438000000.0,,,,,,-9361000000.0,,,-19648000000.0,,,,-39951000000.0,-66615000000.0,2948000000.0,,201000000.0,10287000000.0,10287000000.0,,7032000000.0,,,,73000000.0,,-19077000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-220000000.0,,,,,,,,,
GLE.PA,Societe Generale,cash_flow,2024-12-31,-21531000000.0,,,,,-11433000000.0,219119000000.0,,241997000000.0,2236000000.0,-25114000000.0,-1273000000.0,155000000.0,,,,-1428000000.0,,,,,,,,-13743000000.0,,,,,,-11433000000.0,,,-10098000000.0,,,,-26504000000.0,-19758000000.0,1700000000.0,,-492000000.0,10086000000.0,10086000000.0,,5129000000.0,,,,143000000.0,,-2310000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-139000000.0,,,,,,,,,
GLE.PA,Societe Generale,cash_flow,2023-12-31,25556000000.0,,,,,-11867000000.0,241997000000.0,,222869000000.0,-2320000000.0,21448000000.0,-3902000000.0,26000000.0,,,,-3928000000.0,,,,,,,,-12073000000.0,,,,,,-11867000000.0,,,37423000000.0,,,,21778000000.0,16555000000.0,4748000000.0,,-346000000.0,7710000000.0,7710000000.0,,3449000000.0,,,,209000000.0,,-206000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101000000.0,,,,,,,,,
GLE.PA,Societe Generale,cash_flow,2022-12-31,29502000000.0,,,,,-9579000000.0,222869000000.0,,190649000000.0,2354000000.0,29866000000.0,-214000000.0,498000000.0,,,,-712000000.0,,,,,,,,-9001000000.0,,,,,,-9579000000.0,,,39081000000.0,,,,25607000000.0,22031000000.0,5368000000.0,,-18000000.0,5342000000.0,5342000000.0,,2756000000.0,,,,209000000.0,,578000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168000000.0,,,,,,,,,
STLAP.PA,Stellantis,cash_flow,2025-12-31,-13792000000.0,0.0,-5156000000.0,14194000000.0,49000000.0,-9142000000.0,30146000000.0,,34100000000.0,-1278000000.0,-2676000000.0,7574000000.0,-5000000.0,,-1959000000.0,-1959000000.0,49000000.0,0.0,49000000.0,9489000000.0,451000000.0,9038000000.0,-5156000000.0,14194000000.0,-5897000000.0,100000000.0,,60000000.0,485000000.0,-425000000.0,-8913000000.0,229000000.0,-9142000000.0,-4650000000.0,-204000000.0,,276000000.0,1077000000.0,-5379000000.0,10797000000.0,,,6981000000.0,,,-26605000000.0,3483000000.0,-2537000000.0,-5532000000.0,,,2856000000.0,,,,,,,,,7574000000.0,,,,-5897000000.0,-4650000000.0,11042000000.0,3483000000.0,3483000000.0,-5532000000.0,,,6981000000.0,,3028000000.0,1271000000.0,,,297000000.0,,,,,,,,,,,,,,,
STLAP.PA,Stellantis,cash_flow,2024-12-31,-9525000000.0,-3000000000.0,-8471000000.0,13115000000.0,104000000.0,-11060000000.0,34100000000.0,,43669000000.0,410000000.0,-9979000000.0,-1343000000.0,-15000000.0,,-4651000000.0,-4651000000.0,-2896000000.0,-3000000000.0,104000000.0,6219000000.0,1575000000.0,4644000000.0,-8471000000.0,13115000000.0,-10105000000.0,-664000000.0,,-1391000000.0,261000000.0,-1652000000.0,-10472000000.0,588000000.0,-11060000000.0,1535000000.0,-2792000000.0,,335000000.0,-9207000000.0,-3885000000.0,1927000000.0,,,7226000000.0,,,4032000000.0,-4007000000.0,632000000.0,-2669000000.0,-2921000000.0,,2422000000.0,,,,,,,,,-1343000000.0,,,,-10105000000.0,1535000000.0,722000000.0,-4007000000.0,-4007000000.0,-2669000000.0,,-2921000000.0,7226000000.0,,14000000.0,46000000.0,,,-66000000.0,,,,,,,,,,,,,,,
STLAP.PA,Stellantis,cash_flow,2023-12-31,7761000000.0,-2434000000.0,-4382000000.0,4168000000.0,92000000.0,-10193000000.0,43669000000.0,,46433000000.0,-836000000.0,-1928000000.0,-5501000000.0,-10000000.0,,-4208000000.0,-4208000000.0,-2342000000.0,-2434000000.0,92000000.0,1059000000.0,1273000000.0,-214000000.0,-4382000000.0,4168000000.0,-14215000000.0,-441000000.0,,-2428000000.0,1457000000.0,-3885000000.0,-8592000000.0,1601000000.0,-10193000000.0,17954000000.0,-2649000000.0,,312000000.0,-9733000000.0,-1747000000.0,720000000.0,,,7549000000.0,,,22418000000.0,1058000000.0,-4388000000.0,-5835000000.0,701000000.0,,-2754000000.0,,,,,,,,,-5501000000.0,,,,-14215000000.0,17954000000.0,1179000000.0,1058000000.0,1058000000.0,-5835000000.0,,701000000.0,7549000000.0,,-663000000.0,-468000000.0,,,-166000000.0,,,,,,,,,,,,,0.0,,-156000000.0
STLAP.PA,Stellantis,cash_flow,2022-12-31,10945000000.0,-923000000.0,,,40000000.0,-9014000000.0,46433000000.0,,49629000000.0,608000000.0,-3804000000.0,-13167000000.0,-2051000000.0,,-3353000000.0,-3353000000.0,-883000000.0,-923000000.0,40000000.0,-6880000000.0,-400000000.0,-6480000000.0,,,-10531000000.0,-1631000000.0,,-431000000.0,235000000.0,-666000000.0,-8469000000.0,545000000.0,-9014000000.0,19959000000.0,,,-47000000.0,-3058000000.0,-483000000.0,391000000.0,,,6797000000.0,,,16779000000.0,4165000000.0,-5606000000.0,-1986000000.0,-711000000.0,,,,,,,,,,,-13167000000.0,,,,-10531000000.0,19959000000.0,852000000.0,4165000000.0,4165000000.0,-1986000000.0,,-711000000.0,6797000000.0,,-192000000.0,,,,-65000000.0,,,,,,,,,,,,0.0,0.0,0.0,-47000000.0
STLAP.PA,Stellantis,cash_flow,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1152000000.0,,,,,,,,-654000000.0,,,,,,,,,,,,,,,,,,,,,,-654000000.0,,,,,,,,,,,,,,,,,,,0.0,-3115000000.0,0.0,-185000000.0
STMPA.PA,STMicroelectronics,cash_flow,2025-12-31,-52000000.0,-367000000.0,-989000000.0,0.0,,,2837000000.0,,2282000000.0,6000000.0,549000000.0,-1560000000.0,117000000.0,,-321000000.0,-321000000.0,-367000000.0,-367000000.0,,-989000000.0,,-989000000.0,-989000000.0,0.0,-43000000.0,258000000.0,,,,,-2102000000.0,9000000.0,-2111000000.0,2152000000.0,,,,-143000000.0,,-99000000.0,193000000.0,,1854000000.0,,-76000000.0,180000000.0,83000000.0,-172000000.0,5000000.0,17000000.0,101000000.0,1894000000.0,2250000000.0,-356000000.0,-93000000.0,,-93000000.0,,,,-1560000000.0,,,,-43000000.0,2152000000.0,-59000000.0,83000000.0,83000000.0,5000000.0,226000000.0,17000000.0,1854000000.0,101000000.0,-76000000.0,,,,,,,,,,,,,,54000000.0,141000000.0,,,,
