ticker,company_name,statement,fiscal_year_end,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,PreferredStockDividends,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeDiscontinuousOperations,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,OtherSpecialCharges,WriteOff,RestructuringAndMergernAcquisition,NetNonOperatingInterestIncomeExpense,TotalOtherFinanceCost,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,RentAndLandingFees,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,Amortization,ResearchAndDevelopment,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,OtherIncomeExpense,GainOnSaleOfBusiness,EarningsFromEquityInterest,GainOnSaleOfSecurity,ImpairmentOfCapitalAssets,NetPolicyholderBenefitsAndClaims,InsuranceAndClaims,AverageDilutionEarnings,GainOnSaleOfPPE,SecuritiesAmortization,OtherTaxes,ProvisionForDoubtfulAccounts,DepreciationAmortizationDepletionIncomeStatement,SalariesAndWages,EarningsFromEquityInterestNetOfTax,AmortizationOfIntangiblesIncomeStatement,OtherGandA,NetIncomeExtraordinary,ExciseTaxes
MC.PA,LVMH,income_statement,2024-12-31,-142215000.0,0.285,27593000000.0,-499000000.0,-499000000.0,12550000000.0,7796000000.0,27918000000.0,27094000000.0,19298000000.0,-1003000000.0,1186000000.0,231000000.0,12906785000.0,12550000000.0,65105000000.0,,18907000000.0,499681046.0,499412515.0,25.12,25.13,12550000000.0,12550000000.0,0.0,,12550000000.0,-408000000.0,12958000000.0,,12958000000.0,5157000000.0,18112000000.0,,-701000000.0,199000000.0,,80000000.0,-1003000000.0,48000000.0,1186000000.0,231000000.0,19577000000.0,37187000000.0,,,,,56764000000.0,27918000000.0,84682000000.0,84682000000.0,,,37222000000.0,31002000000.0,6220000000.0,,,,,422000000.0,,,,,,,,,,,,,,
MC.PA,LVMH,income_statement,2023-12-31,-95223296.032553,0.262323,30139000000.0,-363000000.0,-363000000.0,15174000000.0,7177000000.0,26876000000.0,29776000000.0,22599000000.0,-804000000.0,973000000.0,212000000.0,15441776703.967447,15174000000.0,63372000000.0,,22560000000.0,500304316.0,500056586.0,30.33,30.34,15174000000.0,15174000000.0,0.0,,15174000000.0,-778000000.0,15952000000.0,,15952000000.0,5673000000.0,21626000000.0,,-230000000.0,102000000.0,,23000000.0,-804000000.0,43000000.0,973000000.0,212000000.0,22781000000.0,36496000000.0,14000000.0,,,,59277000000.0,26876000000.0,86153000000.0,86153000000.0,,,36482000000.0,30768000000.0,5714000000.0,,,,,105000000.0,,,,,,,,,,,,,,
MC.PA,LVMH,income_statement,2022-12-31,-169545000.0,0.267,27356000000.0,-635000000.0,-635000000.0,14084000000.0,6226000000.0,24988000000.0,26721000000.0,20495000000.0,-311000000.0,382000000.0,113000000.0,14549455000.0,14084000000.0,58169000000.0,,21001000000.0,502480100.0,502120694.0,28.03,28.05,14084000000.0,14084000000.0,0.0,,14084000000.0,-667000000.0,14751000000.0,,14751000000.0,5362000000.0,20113000000.0,,-282000000.0,210000000.0,,22000000.0,-311000000.0,42000000.0,382000000.0,113000000.0,21014000000.0,33181000000.0,3000000.0,,,,54195000000.0,24988000000.0,79183000000.0,79183000000.0,,,33178000000.0,28151000000.0,5027000000.0,,,,,50000000.0,,,,,,,,,,,,,,
MC.PA,LVMH,income_statement,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML.PA,Michelin,income_statement,2025-12-31,-55756000.0,0.263,4860000000.0,-212000000.0,-212000000.0,1665000000.0,2036000000.0,18973000000.0,4648000000.0,2612000000.0,-264000000.0,354000000.0,104000000.0,1821244000.0,1665000000.0,23368000000.0,,2366000000.0,713093000.0,704969648.0,2.33,2.36,1662000000.0,1662000000.0,3000000.0,,1665000000.0,1000000.0,1664000000.0,,1664000000.0,594000000.0,2258000000.0,,-258000000.0,,,155000000.0,-264000000.0,14000000.0,354000000.0,104000000.0,2624000000.0,4395000000.0,,93000000.0,0.0,,7019000000.0,18973000000.0,25992000000.0,25992000000.0,93000000.0,788000000.0,3441000000.0,1176000000.0,2265000000.0,,,,,103000000.0,,,,,,,,,,,,,,
ML.PA,Michelin,income_statement,2024-12-31,-111911000.0,0.227,5318000000.0,-493000000.0,-493000000.0,1884000000.0,2085000000.0,19445000000.0,4825000000.0,2740000000.0,-171000000.0,295000000.0,141000000.0,2265089000.0,1884000000.0,24006000000.0,,2631000000.0,713207547.0,713207547.0,2.65,2.65,1882000000.0,1882000000.0,2000000.0,,1884000000.0,-6000000.0,1890000000.0,,1890000000.0,555000000.0,2445000000.0,,-556000000.0,,,382000000.0,-171000000.0,17000000.0,295000000.0,141000000.0,3187000000.0,4561000000.0,70000000.0,102000000.0,0.0,,7748000000.0,19445000000.0,27193000000.0,27193000000.0,102000000.0,786000000.0,3494000000.0,1204000000.0,2290000000.0,,,,,174000000.0,,,,,,,,,,,,,,
ML.PA,Michelin,income_statement,2023-12-31,-157284000.0,0.204,5656000000.0,-771000000.0,-771000000.0,1983000000.0,2008000000.0,20395000000.0,4885000000.0,2877000000.0,-226000000.0,387000000.0,130000000.0,2596716000.0,1983000000.0,24897000000.0,,2652000000.0,715884477.0,715884477.0,2.77,2.77,1980000000.0,1980000000.0,3000000.0,,1983000000.0,0.0,1983000000.0,,1983000000.0,507000000.0,2490000000.0,,-794000000.0,,,522000000.0,-226000000.0,-31000000.0,387000000.0,130000000.0,3446000000.0,4502000000.0,75000000.0,91000000.0,0.0,,7948000000.0,20395000000.0,28343000000.0,28343000000.0,91000000.0,756000000.0,3546000000.0,1210000000.0,2336000000.0,,,,,272000000.0,,,,,,,,,,,,,,
ML.PA,Michelin,income_statement,2022-12-31,-6820783.13253,0.243599,4976000000.0,-28000000.0,-28000000.0,2001000000.0,1944000000.0,21052000000.0,4948000000.0,3004000000.0,-328000000.0,348000000.0,12000000.0,2022179216.86747,2001000000.0,25460000000.0,,3021000000.0,717250000.0,713400033.0,2.79,2.81,2001000000.0,2001000000.0,0.0,,2001000000.0,-8000000.0,2009000000.0,,2009000000.0,647000000.0,2656000000.0,,-109000000.0,,,73000000.0,-328000000.0,-8000000.0,348000000.0,12000000.0,3130000000.0,4408000000.0,176000000.0,78000000.0,0.0,,7538000000.0,21052000000.0,28590000000.0,28590000000.0,78000000.0,698000000.0,3418000000.0,1174000000.0,2244000000.0,,,,,36000000.0,,,,,,,,,,,,,,
ML.PA,Michelin,income_statement,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORA.PA,Orange,income_statement,2025-12-31,-148500000.0,0.25,12320000000.0,-262000000.0,-594000000.0,496000000.0,8433000000.0,16388000000.0,12058000000.0,3508000000.0,-1214000000.0,1341000000.0,37000000.0,1273500000.0,538000000.0,36237000000.0,85000000.0,3422000000.0,2660272101.0,2658219044.0,0.14,0.14,369000000.0,369000000.0,169000000.0,,538000000.0,-601000000.0,1139000000.0,42000000.0,1097000000.0,1070000000.0,2167000000.0,13000000.0,-602000000.0,-141000000.0,,345000000.0,-1214000000.0,-90000000.0,1341000000.0,37000000.0,4160000000.0,19849000000.0,2292000000.0,8550000000.0,6538000000.0,,24009000000.0,16388000000.0,40397000000.0,40397000000.0,2012000000.0,,-9840000000.0,,-9840000000.0,,,,,66000000.0,,,0.0,,,,,,,,,,,
